scenario,scrap_id,scrap_grade,tons_used,cost_per_ton,line_cost
Baseline,S1,HMS1,31.88,285,9084.51
Baseline,S2,HMS2,9.71,255,2475.64
Baseline,S6,Turnings,36.71,190,6975.71
Baseline,S10,Cast_Iron_Scrap,1.7,220,374.41
High_Recycled,S1,HMS1,31.88,285,9084.51
High_Recycled,S2,HMS2,9.71,255,2475.64
High_Recycled,S6,Turnings,36.71,190,6975.71
High_Recycled,S10,Cast_Iron_Scrap,1.7,220,374.41
Tight_Impurity,S1,HMS1,30.96,285,8822.58
Tight_Impurity,S2,HMS2,46.7,255,11908.27
Tight_Impurity,S4,Pig_Iron,0.22,420,94.29
Tight_Impurity,S10,Cast_Iron_Scrap,2.12,220,466.4
Small_Heat,S1,HMS1,19.92,285,5677.82
Small_Heat,S2,HMS2,6.07,255,1547.27
Small_Heat,S6,Turnings,22.95,190,4359.82
Small_Heat,S10,Cast_Iron_Scrap,1.06,220,234.01
